geoName,geoCode,알러지,keyword,date,대상포진,수족구병,장염,식중독,감기,인플루엔자,동상
강원도,KR-42,0,알러지,2019-01,100,0,100,100,78,100,0
경기도,KR-41,25,알러지,2019-01,48,0,55,18,59,67,42
경상남도,KR-48,0,알러지,2019-01,0,0,48,0,74,60,0
경상북도,KR-47,0,알러지,2019-01,78,0,59,0,48,54,64
광주광역시,KR-29,0,알러지,2019-01,96,0,89,0,82,91,100
대구광역시,KR-27,0,알러지,2019-01,66,0,65,0,85,87,0
대전광역시,KR-30,0,알러지,2019-01,88,0,87,0,71,77,0
부산광역시,KR-26,40,알러지,2019-01,76,0,66,0,76,58,44
서울특별시,KR-11,43,알러지,2019-01,57,0,64,12,67,63,52
울산광역시,KR-31,0,알러지,2019-01,0,0,0,0,79,0,0
인천광역시,KR-28,71,알러지,2019-01,58,0,82,0,67,72,62
전라남도,KR-46,100,알러지,2019-01,0,0,0,0,100,0,0
전라북도,KR-45,0,알러지,2019-01,0,0,98,0,47,67,0
제주특별자치도,KR-49,0,알러지,2019-01,0,0,0,0,78,0,0
충청남도,KR-44,0,알러지,2019-01,53,0,57,0,61,0,82
충청북도,KR-43,0,알러지,2019-01,0,0,0,0,75,69,0
강원도,KR-42,0,알러지,2019-02,0,0,0,0,52,0,0
경기도,KR-41,72,알러지,2019-02,49,0,65,57,43,98,47
경상남도,KR-48,0,알러지,2019-02,0,0,98,0,48,0,72
경상북도,KR-47,0,알러지,2019-02,54,0,70,0,54,0,0
광주광역시,KR-29,0,알러지,2019-02,0,0,0,0,59,0,0
대구광역시,KR-27,0,알러지,2019-02,51,0,77,0,53,0,0
대전광역시,KR-30,0,알러지,2019-02,0,0,75,0,61,0,0
부산광역시,KR-26,59,알러지,2019-02,57,0,85,0,59,0,49
서울특별시,KR-11,100,알러지,2019-02,45,0,80,100,49,100,56
울산광역시,KR-31,0,알러지,2019-02,0,0,0,0,43,0,0
인천광역시,KR-28,0,알러지,2019-02,46,0,100,0,54,0,57
전라남도,KR-46,0,알러지,2019-02,100,0,0,0,0,0,0
전라북도,KR-45,0,알러지,2019-02,0,0,0,0,43,0,0
제주특별자치도,KR-49,0,알러지,2019-02,0,0,0,0,100,0,0
충청남도,KR-44,0,알러지,2019-02,66,0,68,0,39,0,100
충청북도,KR-43,0,알러지,2019-02,72,0,0,0,71,0,0
강원도,KR-42,0,알러지,2019-03,0,0,0,0,56,0,0
경기도,KR-41,86,알러지,2019-03,63,0,66,13,72,0,49
경상남도,KR-48,100,알러지,2019-03,71,0,98,0,62,0,0
경상북도,KR-47,0,알러지,2019-03,63,0,80,0,79,0,0
광주광역시,KR-29,0,알러지,2019-03,0,0,0,0,96,0,0
대구광역시,KR-27,0,알러지,2019-03,43,0,87,0,77,0,76
대전광역시,KR-30,0,알러지,2019-03,50,0,0,0,78,0,0
부산광역시,KR-26,66,알러지,2019-03,58,0,59,0,70,0,71
서울특별시,KR-11,81,알러지,2019-03,60,0,70,17,72,100,57
울산광역시,KR-31,0,알러지,2019-03,0,0,0,0,61,0,0
인천광역시,KR-28,0,알러지,2019-03,37,0,0,0,84,0,100
전라남도,KR-46,0,알러지,2019-03,0,0,0,0,89,0,0
전라북도,KR-45,0,알러지,2019-03,100,0,0,100,96,0,0
제주특별자치도,KR-49,0,알러지,2019-03,0,0,0,0,100,0,0
충청남도,KR-44,0,알러지,2019-03,51,0,100,0,67,0,0
충청북도,KR-43,0,알러지,2019-03,0,0,0,0,88,0,0
강원도,KR-42,0,알러지,2019-04,100,0,0,0,100,0,0
경기도,KR-41,65,알러지,2019-04,53,0,55,43,60,76,70
경상남도,KR-48,0,알러지,2019-04,46,0,62,100,62,0,0
경상북도,KR-47,100,알러지,2019-04,47,0,58,0,60,0,0
광주광역시,KR-29,0,알러지,2019-04,0,0,0,0,64,0,0
대구광역시,KR-27,98,알러지,2019-04,57,0,0,0,75,0,0
대전광역시,KR-30,100,알러지,2019-04,45,0,66,0,72,0,0
부산광역시,KR-26,0,알러지,2019-04,63,0,71,61,64,0,82
서울특별시,KR-11,72,알러지,2019-04,46,0,58,48,63,100,100
울산광역시,KR-31,0,알러지,2019-04,0,0,0,0,57,0,0
인천광역시,KR-28,0,알러지,2019-04,52,0,46,0,59,0,0
전라남도,KR-46,0,알러지,2019-04,0,0,100,0,67,0,0
전라북도,KR-45,0,알러지,2019-04,0,0,0,0,76,0,0
제주특별자치도,KR-49,0,알러지,2019-04,0,0,0,0,0,0,0
충청남도,KR-44,0,알러지,2019-04,43,0,0,0,52,0,0
충청북도,KR-43,0,알러지,2019-04,73,0,94,0,60,0,0
