date,알러지,대상포진,수족구병,장염,식중독,감기,인플루엔자,동상
2019-01-01,0,0,0.0,85,,90,0.0,76
2019-01-02,0,54,0.0,76,,100,0.0,0
2019-01-03,77,52,0.0,0,,79,0.0,79
2019-01-04,0,43,0.0,86,,80,0.0,0
2019-01-05,0,66,0.0,0,,82,0.0,0
2019-01-06,0,0,0.0,0,,80,0.0,0
2019-01-07,100,57,0.0,73,,80,0.0,0
2019-01-08,0,68,0.0,79,,60,0.0,0
2019-01-09,82,0,0.0,75,,77,0.0,0
2019-01-10,0,0,0.0,59,,76,0.0,0
2019-01-11,83,55,0.0,100,,63,0.0,100
2019-01-12,0,49,0.0,0,,67,0.0,67
2019-01-13,0,66,0.0,58,,69,0.0,0
2019-01-14,0,43,0.0,0,,59,0.0,0
2019-01-15,0,46,0.0,66,,55,0.0,0
2019-01-16,0,0,0.0,52,,48,0.0,0
2019-01-17,0,53,100.0,0,,66,0.0,0
2019-01-18,0,45,0.0,52,,51,0.0,0
2019-01-19,0,0,0.0,0,,47,0.0,0
2019-01-20,0,100,0.0,0,,55,0.0,0
2019-01-21,0,72,0.0,68,,57,0.0,55
2019-01-22,0,43,0.0,0,,66,0.0,99
2019-01-23,0,45,0.0,62,,62,7.0,71
2019-01-24,0,0,0.0,71,,51,7.0,69
2019-01-25,0,0,0.0,0,,61,100.0,0
2019-01-26,97,0,0.0,68,,53,62.0,0
2019-01-27,0,60,0.0,0,,64,28.0,0
2019-01-28,0,66,0.0,0,,57,20.0,59
2019-01-29,0,50,0.0,0,,57,12.0,72
2019-01-30,0,89,0.0,72,,59,0.0,0
2019-01-31,0,0,0.0,64,,41,0.0,0
2019-02-01,0,0,,89,,81,,0
2019-02-02,0,66,,61,,84,,0
2019-02-03,0,0,,0,,83,,0
2019-02-04,100,92,,0,,100,,0
2019-02-05,0,100,,86,,61,,0
2019-02-06,0,0,,57,,75,,0
2019-02-07,0,48,,100,,88,,85
2019-02-08,0,73,,0,,96,,0
2019-02-09,0,84,,60,,64,,83
2019-02-10,0,54,,90,,97,,0
2019-02-11,0,58,,67,,84,,72
2019-02-12,0,57,,73,,65,,0
2019-02-13,66,0,,50,,77,,0
2019-02-14,0,86,,0,,61,,0
2019-02-15,0,61,,62,,82,,0
2019-02-16,0,0,,0,,66,,0
2019-02-17,0,95,,78,,87,,0
2019-02-18,85,81,,60,,92,,0
2019-02-19,71,55,,0,,75,,89
2019-02-20,0,76,,53,,55,,0
2019-02-21,79,84,,55,,52,,0
2019-02-22,0,50,,62,,82,,90
2019-02-23,0,60,,0,,88,,0
2019-02-24,0,0,,56,,72,,100
2019-02-25,77,62,,0,,70,,0
2019-02-26,0,54,,0,,75,,81
2019-02-27,0,0,,76,,72,,81
2019-02-28,0,55,,58,,87,,0
2019-03-01,0,0,0.0,0,0.0,57,0.0,0
2019-03-02,0,0,0.0,0,0.0,68,0.0,0
2019-03-03,0,94,0.0,0,0.0,50,0.0,89
2019-03-04,0,70,0.0,94,0.0,56,0.0,89
2019-03-05,0,72,0.0,0,0.0,50,0.0,0
2019-03-06,0,0,0.0,69,0.0,46,0.0,0
2019-03-07,0,57,0.0,0,0.0,37,0.0,0
2019-03-08,0,76,100.0,0,0.0,52,0.0,99
2019-03-09,0,0,0.0,0,0.0,53,0.0,0
2019-03-10,0,0,0.0,100,0.0,100,0.0,0
2019-03-11,0,77,0.0,74,0.0,55,0.0,0
2019-03-12,61,76,0.0,0,0.0,37,0.0,0
2019-03-13,100,91,0.0,62,0.0,67,0.0,76
